lineage_ID,dataset,variable,ws,length,num_of_ind_means,ebp,cv_means,var_means
0.0,Trace,$\phi$,3,54,18,0.20084333100728485,0.010774452557584259,0.006771861636729393
0.0,Trace,$\phi$,4,52,13,0.12375853119473461,0.006437004848052053,0.0040094226769301945
0.0,Trace,$\phi$,5,55,11,0.058956343829580635,0.0031558571426402206,0.0019749599750879393
0.0,Trace,$\phi$,6,54,9,0.04855716391668243,0.0026049003286654354,0.0016372084343882732
0.0,Trace,$\phi$,7,49,7,0.05194198095655725,0.0025891540173665207,0.0016309675612985945
0.0,Trace,$\phi$,8,48,6,0.04625596321342711,0.002226953538228593,0.001388449638492593
0.0,Trace,$\phi$,9,54,6,0.04831198912683442,0.0025917476681898057,0.0016289418429842257
0.0,Trace,$\phi$,10,50,5,0.011218634184404169,0.0006043058269479118,0.00037613416939405453
0.0,Trace,$\phi$,11,55,5,0.01955607342127461,0.0010468114197671918,0.0006551027381979553
0.0,Trace,$\phi$,12,48,4,0.03822087538836536,0.001840111150373948,0.0011472631187245906
0.0,Trace,$\phi$,13,52,4,0.008283538128052199,0.0004308484802990667,0.0002683629588619538
0.0,Trace,$\phi$,14,42,3,0.011630952531976525,0.0005950315964393463,0.00036754436407228103
0.0,Trace,$\phi$,15,45,3,0.02710613830521318,0.001364983495078142,0.000847766289601258
0.0,Trace,$\phi$,16,48,3,0.04071756778132934,0.001960312256828598,0.001222205491764004
0.0,Trace,$\phi$,17,51,3,0.013838550444586666,0.0007314869847187335,0.00045636921338357224
0.0,Artificial,$\phi$,3,54,18,0.2881245718765675,0.011027880537899293,0.007083168991401269
0.0,Artificial,$\phi$,4,52,13,0.1683865527782894,0.0065283685818877,0.0042003027799484
0.0,Artificial,$\phi$,5,55,11,0.2056592807169185,0.0077521623666462385,0.004991369451378864
0.0,Artificial,$\phi$,6,54,9,0.1482235497769804,0.005673211379361866,0.0036438837713067503
0.0,Artificial,$\phi$,7,49,7,0.11045458111085397,0.004300742583706124,0.002785466318866201
0.0,Artificial,$\phi$,8,48,6,0.03521096999612609,0.0013427323361634503,0.0008753501633741138
0.0,Artificial,$\phi$,9,54,6,0.11503553153493315,0.00440295005427186,0.00282799937738968
0.0,Artificial,$\phi$,10,50,5,0.0741006807011111,0.0028371020060040586,0.0018424855674382874
0.0,Artificial,$\phi$,11,55,5,0.05555958909555381,0.002094274346343414,0.0013484362814845541
0.0,Artificial,$\phi$,12,48,4,0.01611694197469324,0.0006146021865308323,0.0004006696717582901
0.0,Artificial,$\phi$,13,52,4,0.012952330782973948,0.0005021635513681372,0.00032308821635043986
0.0,Artificial,$\phi$,14,42,3,0.011323840857979458,0.00045214348263021174,0.0002950926374794147
0.0,Artificial,$\phi$,15,45,3,0.018034915681511807,0.0007058519588765753,0.0004628529233246412
0.0,Artificial,$\phi$,16,48,3,0.010402249538682492,0.00039667855858464027,0.00025860153338990143
0.0,Artificial,$\phi$,17,51,3,0.005935753239742014,0.00023236655818605629,0.00014992901030168857
0.0,White Noise,$\phi$,3,54,18,0.25331732965733295,9.564870542844208,0.21553772122847595
0.0,White Noise,$\phi$,4,52,13,0.16551732013349346,6.011535975808791,0.14584615428588876
0.0,White Noise,$\phi$,5,55,11,0.14553638102456867,2.537649291676001,0.1276373229918185
0.0,White Noise,$\phi$,6,54,9,0.14651997828441202,5.5323677465197685,0.12466806861017982
0.0,White Noise,$\phi$,7,49,7,0.05005009608442622,2.2987272927032247,0.04531183926662554
0.0,White Noise,$\phi$,8,48,6,0.05004238250961897,706.1052064389563,0.04528973877952592
0.0,White Noise,$\phi$,9,54,6,0.12264051063262976,4.630715984161863,0.10434997174417941
0.0,White Noise,$\phi$,10,50,5,0.06283038814086792,1.447182094577881,0.05693056762962889
0.0,White Noise,$\phi$,11,55,5,0.08397500775122685,1.464232636803118,0.07364718781741858
0.0,White Noise,$\phi$,12,48,4,0.10827139965648286,1527.725003724202,0.09798860809221488
0.0,White Noise,$\phi$,13,52,4,0.010041533342101179,0.3647052700565655,0.008848131542353498
0.0,White Noise,$\phi$,14,42,3,0.00651874641018586,0.26521555174958183,0.006399458600098832
0.0,White Noise,$\phi$,15,45,3,0.007604685245580073,0.2568129448628873,0.006988972880544674
0.0,White Noise,$\phi$,16,48,3,0.003026349323325525,42.70222372590703,0.002738929751849093
0.0,White Noise,$\phi$,17,51,3,0.001549699396303861,0.03609037759998905,0.0013767584750602809
1.0,Trace,$\phi$,3,81,27,0.2930000641326681,0.013531160472016749,0.008577744706088535
1.0,Trace,$\phi$,4,80,20,0.29646852094748777,0.013788201351664149,0.008756440196928596
1.0,Trace,$\phi$,5,80,16,0.1529946805124018,0.007115498987537277,0.0045188229970369665
1.0,Trace,$\phi$,6,78,13,0.11729843996942867,0.005521011604038499,0.0035185948011215167
1.0,Trace,$\phi$,7,77,11,0.09251303126621793,0.00438132389337104,0.002798142689285313
1.0,Trace,$\phi$,8,80,10,0.12851955257484268,0.005977206156202986,0.0037959300793926898
1.0,Trace,$\phi$,9,81,9,0.1040563771268066,0.004805471770825213,0.0030463100432294426
1.0,Trace,$\phi$,10,80,8,0.0883611714124157,0.004109514289104231,0.0026098194531095674
1.0,Trace,$\phi$,11,77,7,0.03013038551846824,0.0014269446820812447,0.0009113215382732382
1.0,Trace,$\phi$,12,72,6,0.05418604303249748,0.0026042023418918676,0.0016821816589769965
1.0,Trace,$\phi$,13,78,6,0.020495086166276044,0.0009646642238317074,0.000614789963549314
1.0,Trace,$\phi$,14,70,5,0.03262938595551312,0.0016113704894541313,0.0010406239853197833
1.0,Trace,$\phi$,15,75,5,0.028214540532173916,0.0013656574776547978,0.0008740571916110159
1.0,Trace,$\phi$,16,80,5,0.024473159624932243,0.0011382012887626366,0.0007228347819212966
1.0,Trace,$\phi$,17,68,4,0.05669133625058349,0.0028340817230522817,0.001838491263174486
1.0,Trace,$\phi$,18,72,4,0.0324210861043015,0.001558170031143689,0.0010064982301080981
1.0,Trace,$\phi$,19,76,4,0.022786616583394065,0.0010905214688962978,0.0006972825364980715
1.0,Trace,$\phi$,20,80,4,0.019100871824737995,0.0008883461416750725,0.0005641598686699759
1.0,Trace,$\phi$,21,63,3,0.030117176528904818,0.0008072572556742083,0.0005108538987457311
1.0,Trace,$\phi$,22,66,3,0.043436103998691244,0.0012131347096068319,0.0007754261677698701
1.0,Trace,$\phi$,23,69,3,0.05231049103921917,0.0025816523017407923,0.0016731617857389722
1.0,Trace,$\phi$,24,72,3,0.029286355422845103,0.0014075136531359225,0.000909181907249537
1.0,Trace,$\phi$,25,75,3,0.01035330397924719,0.0005011269625875665,0.0003207346151774708
1.0,Trace,$\phi$,26,78,3,0.010573448046354142,0.0004976718307066482,0.0003171711348891469
1.0,Artificial,$\phi$,3,81,27,0.26955156531030744,0.009643718054483557,0.005982242219514083
1.0,Artificial,$\phi$,4,80,20,0.18963209971780937,0.006857407443848073,0.00425727647000857
1.0,Artificial,$\phi$,5,80,16,0.18011709638879617,0.006513329332844133,0.004043662847394355
1.0,Artificial,$\phi$,6,78,13,0.18299084481581168,0.006608537914609416,0.004123569567203261
1.0,Artificial,$\phi$,7,77,11,0.12405650578248262,0.0045077242843201476,0.0028180848625448565
1.0,Artificial,$\phi$,8,80,10,0.05435202578890196,0.0019654583099995866,0.0012202132488788766
1.0,Artificial,$\phi$,9,81,9,0.1006868452953966,0.0036022626939910363,0.00223457465803398
1.0,Artificial,$\phi$,10,80,8,0.09429085917884744,0.0034097119663920174,0.002116847605001228
1.0,Artificial,$\phi$,11,77,7,0.009892548752767552,0.00035945621686990964,0.00022472051519040727
1.0,Artificial,$\phi$,12,72,6,0.0673379721668555,0.002599365810520752,0.0016271534167287616
1.0,Artificial,$\phi$,13,78,6,0.01135411543399519,0.0004100429308795982,0.00025585697969349923
1.0,Artificial,$\phi$,14,70,5,0.02186927138340692,0.0008617501714646375,0.0005409074437864366
1.0,Artificial,$\phi$,15,75,5,0.03869997850619743,0.0014431040754055865,0.0009014493953212923
1.0,Artificial,$\phi$,16,80,5,0.005012227468847381,0.0001812503579630293,0.00011252545374547977
1.0,Artificial,$\phi$,17,68,4,0.01830271366993899,0.000698590666027562,0.0004349777123150741
1.0,Artificial,$\phi$,18,72,4,0.01831752314853736,0.0007070890594648258,0.00044262426411202985
1.0,Artificial,$\phi$,19,76,4,0.022651814732527777,0.0008337054070581443,0.0005207065452325647
1.0,Artificial,$\phi$,20,80,4,0.019439624268765138,0.0007029686659832955,0.00043642323798753443
1.0,Artificial,$\phi$,21,63,3,0.006798263563033357,0.0002520192424829111,0.00015465163882934279
1.0,Artificial,$\phi$,22,66,3,0.0024349944801223314,8.900110186378655e-05,5.517066045149118e-05
1.0,Artificial,$\phi$,23,69,3,0.016421176156369878,0.0006565184766774874,0.00041203532643177895
1.0,Artificial,$\phi$,24,72,3,0.011841184973205854,0.0004570908565398326,0.0002861301575807301
1.0,Artificial,$\phi$,25,75,3,0.006677381435090931,0.00024899642671569416,0.0001555381085296574
1.0,Artificial,$\phi$,26,78,3,0.00043668791426802744,1.5770562954647925e-05,9.840454015355807e-06
1.0,White Noise,$\phi$,3,81,27,0.28692368960487796,2.221699883447661,0.19378480849295965
1.0,White Noise,$\phi$,4,80,20,0.18450136267209788,1.1495163800039052,0.12120736627945221
1.0,White Noise,$\phi$,5,80,16,0.12429478445415858,0.7744056120227103,0.08165491705736384
1.0,White Noise,$\phi$,6,78,13,0.10900903095250757,0.8880356400007337,0.06648130766221622
1.0,White Noise,$\phi$,7,77,11,0.06949325112220173,0.5247539868639115,0.04270234020881172
1.0,White Noise,$\phi$,8,80,10,0.076517925763962,0.4767369072819272,0.05026811791899607
1.0,White Noise,$\phi$,9,81,9,0.03689001550219028,0.2856457870539149,0.024915072712325535
1.0,White Noise,$\phi$,10,80,8,0.0649937812772671,0.40493693431082856,0.04269738141262879
1.0,White Noise,$\phi$,11,77,7,0.05218174859057791,0.3940322286301534,0.03206473643155899
1.0,White Noise,$\phi$,12,72,6,0.05366597285210294,0.38867203961385516,0.03140428129922102
1.0,White Noise,$\phi$,13,78,6,0.017874306397243408,0.14561198262518935,0.010900998316016345
1.0,White Noise,$\phi$,14,70,5,0.03050544032620101,0.25675939570679157,0.018205343645700523
1.0,White Noise,$\phi$,15,75,5,0.0481290936306962,0.3870171685805295,0.029930417701063007
1.0,White Noise,$\phi$,16,80,5,0.03063257920717735,0.19085307040793256,0.020123939434785416
1.0,White Noise,$\phi$,17,68,4,0.051961095499616874,0.45605249297363915,0.031347565733182675
1.0,White Noise,$\phi$,18,72,4,0.03275248995622497,0.23720760841884994,0.0191661187372828
1.0,White Noise,$\phi$,19,76,4,0.013209588774701823,0.09446004723950534,0.0081944726027797
1.0,White Noise,$\phi$,20,80,4,0.036503784057474016,0.22743299614955992,0.023981001878580717
1.0,White Noise,$\phi$,21,63,3,0.007876239848533738,0.09040874079710243,0.0050076337479351505
1.0,White Noise,$\phi$,22,66,3,0.011594583476252104,0.12168309645721564,0.007162988224968352
1.0,White Noise,$\phi$,23,69,3,0.014017037483356904,0.13750984748255032,0.008390561212806513
1.0,White Noise,$\phi$,24,72,3,0.022486001635708852,0.16285328773591726,0.013158369878221143
1.0,White Noise,$\phi$,25,75,3,0.01656752443227008,0.13322329411324013,0.01030297662231786
1.0,White Noise,$\phi$,26,78,3,0.013182702730317365,0.10739211011936352,0.008039731280755929
2.0,Trace,$\phi$,3,54,18,0.32181428019115876,0.013077042063640408,0.008091153174725607
2.0,Trace,$\phi$,4,52,13,0.25366271413859415,0.010417961237020986,0.006466968804354215
2.0,Trace,$\phi$,5,50,10,0.0834521671360098,0.0035305693189729703,0.002179099063179066
2.0,Trace,$\phi$,6,54,9,0.1577425704888287,0.006409927577744097,0.003966012009292832
2.0,Trace,$\phi$,7,49,7,0.06462056324928314,0.0027365046859757283,0.0016790395040111809
2.0,Trace,$\phi$,8,48,6,0.11437899513644745,0.0047796392808188955,0.0029101987612111125
2.0,Trace,$\phi$,9,54,6,0.11368299346163616,0.004619550401975032,0.002858252632273023
2.0,Trace,$\phi$,10,50,5,0.06898663905047854,0.0029185834186154346,0.0018013758741791015
2.0,Trace,$\phi$,11,44,4,0.09624472610061656,0.003774777435454242,0.002310597843374699
2.0,Trace,$\phi$,12,48,4,0.11113732686978398,0.004644177302295256,0.0028277194654046807
2.0,Trace,$\phi$,13,52,4,0.04197364775367229,0.001723863267642928,0.0010700913279656965
2.0,Trace,$\phi$,14,42,3,0.05093177723969749,0.0020693343660907345,0.0012655740199205877
2.0,Trace,$\phi$,15,45,3,0.059448920296811196,0.0023723396274526885,0.001464311905805523
2.0,Trace,$\phi$,16,48,3,0.07312406767230714,0.0030556892531087318,0.0018605301690297349
2.0,Trace,$\phi$,17,51,3,0.0774540201864646,0.003242974626985256,0.002010219037890461
2.0,Artificial,$\phi$,3,54,18,0.37852108793412553,0.008790842349630795,0.005397251966744021
2.0,Artificial,$\phi$,4,52,13,0.2509691198954335,0.005982093726823944,0.0036710033235612585
2.0,Artificial,$\phi$,5,50,10,0.13874182741433383,0.003353716346456714,0.002063412119013276
2.0,Artificial,$\phi$,6,54,9,0.19841261388386258,0.004607970505291239,0.002829123408569158
2.0,Artificial,$\phi$,7,49,7,0.07000285264757868,0.001635203930234751,0.0010122636056370932
2.0,Artificial,$\phi$,8,48,6,0.17226103852634836,0.004107051987396921,0.0025427866662231543
2.0,Artificial,$\phi$,9,54,6,0.062408133988211836,0.0014493778146397035,0.0008898643553706584
2.0,Artificial,$\phi$,10,50,5,0.08365071864893944,0.0020220346506465013,0.0012440798124197048
2.0,Artificial,$\phi$,11,44,4,0.07895359804197821,0.0019361552988017025,0.0012025656072444345
2.0,Artificial,$\phi$,12,48,4,0.108864236798523,0.0025955438555621767,0.0016069712114124013
2.0,Artificial,$\phi$,13,52,4,0.051114456782297375,0.0012183629260635524,0.0007476670468782095
2.0,Artificial,$\phi$,14,42,3,0.005389157909214922,0.00011700667790909598,7.367199449506123e-05
2.0,Artificial,$\phi$,15,45,3,0.025779224911883548,0.0006404463300292547,0.000395722280501151
2.0,Artificial,$\phi$,16,48,3,0.04301302199190814,0.0010255175457379647,0.0006349255741788533
2.0,Artificial,$\phi$,17,51,3,0.045696431776097224,0.001083935654871245,0.0006677803408681923
2.0,White Noise,$\phi$,3,54,18,0.40164537642178033,0.7137224530921191,0.2521854826519554
2.0,White Noise,$\phi$,4,52,13,0.18630162294219046,0.3613865619086973,0.11683135569663962
2.0,White Noise,$\phi$,5,50,10,0.14098846514793906,0.2662425318412762,0.08930427167376223
2.0,White Noise,$\phi$,6,54,9,0.11955792539347976,0.21245402239818156,0.07506814441344127
2.0,White Noise,$\phi$,7,49,7,0.14974534443861415,0.28735673437161563,0.09677319039735745
2.0,White Noise,$\phi$,8,48,6,0.06421252943124388,0.12765657040340886,0.03854419096143872
2.0,White Noise,$\phi$,9,54,6,0.12654584672740826,0.22487153458492395,0.07945572713636562
2.0,White Noise,$\phi$,10,50,5,0.09390460952977388,0.17732940752663326,0.059480630220819654
2.0,White Noise,$\phi$,11,44,4,0.03231160976252611,0.057767637749800274,0.018277607513317935
2.0,White Noise,$\phi$,12,48,4,0.015086953585024045,0.029993348176103392,0.009056089600553595
2.0,White Noise,$\phi$,13,52,4,0.04328740768081184,0.08396860525773799,0.02714590696567186
2.0,White Noise,$\phi$,14,42,3,0.040391005960474576,0.0691765810833275,0.023469568957939363
2.0,White Noise,$\phi$,15,45,3,0.02669908345630273,0.05456766071223512,0.0157150873703663
2.0,White Noise,$\phi$,16,48,3,0.04302495365323878,0.08553498941385161,0.025826143969195164
2.0,White Noise,$\phi$,17,51,3,0.03368020694932957,0.067679910890598,0.021471481580077504
3.0,Trace,$\phi$,3,60,20,0.3332031432983794,0.009513125979702377,0.005955989399016004
3.0,Trace,$\phi$,4,60,15,0.18511142005749745,0.005285028952177786,0.003308857307243223
3.0,Trace,$\phi$,5,60,12,0.18488313158918543,0.005278511195660644,0.0033047766623737775
3.0,Trace,$\phi$,6,60,10,0.22746772266058427,0.006494323794683916,0.004065974082277939
3.0,Trace,$\phi$,7,56,8,0.11266256559967729,0.003094233967623806,0.0019329729831757967
3.0,Trace,$\phi$,8,56,7,0.12549028837115067,0.003446542432422942,0.002153060653121403
3.0,Trace,$\phi$,9,54,6,0.07033008961143662,0.001981687918009471,0.0012422288391596068
3.0,Trace,$\phi$,10,60,6,0.028489941335517615,0.0008134028940909679,0.0005092562659920024
3.0,Trace,$\phi$,11,55,5,0.07288218367704953,0.002027851273212639,0.0012688845063343803
3.0,Trace,$\phi$,12,60,5,0.0889011215284322,0.0025381740414119327,0.0015891030683039514
3.0,Trace,$\phi$,13,52,4,0.05446692433106456,0.0015702119904563027,0.0009784669272367777
3.0,Trace,$\phi$,14,56,4,0.0493628692598447,0.0013557321901039856,0.0008469281002384002
3.0,Trace,$\phi$,15,60,4,0.036073230055039145,0.001029909798002925,0.0006448071697921576
3.0,Trace,$\phi$,16,48,3,0.0352415368251069,0.0010727283887592193,0.0006658345460113015
3.0,Trace,$\phi$,17,51,3,0.0326017047422518,0.0009582669058108617,0.0005971540846962641
