time,length,lineage_ID
0.0,0.9843145937356637,0
0.05,0.8296977107356636,0
0.1,1.2648417747356637,0
0.15,1.9094520947356637,0
0.2,2.804954255735664,0
0.25,-1.1770992472643367,0
0.3,-1.0307506702643363,0
0.35,-1.0488430892643366,0
0.4,-0.3140981652643364,0
0.45,-0.2572035952643361,0
0.5,0.20703857373566326,0
0.55,0.8581573977356634,0
0.6,1.2442222027356635,0
0.65,1.9303255967356634,0
0.7,-1.2871373522643368,0
0.75,-0.8341283082643365,0
0.8,-0.5623167462643366,0
0.85,-0.24007916026433618,0
0.9,0.3538930637356632,0
0.95,0.4098127667356639,0
1.0,1.1882131787356638,0
1.05,1.8660149317356627,0
1.1,-0.9443978182643362,0
1.15,-0.6189242352643363,0
1.2,-0.23620399126433655,0
1.25,0.2686202777356632,0
1.3,1.0819100107356636,0
1.35,-1.4802125692643364,0
1.4,-1.2566886812643365,0
1.45,-0.8735360942643364,0
1.5,-0.6248582652643364,0
1.55,0.02410738773566301,0
1.6,0.4725097427356637,0
1.65,1.0484065347356637,0
1.7,-1.6039294612643364,0
1.75,-1.3407512942643365,0
1.8,-0.9293122322643366,0
1.85,-0.5979938162643363,0
1.9,-0.2539794092643368,0
1.95,0.15659352273566363,0
2.0,0.6412134497356634,0
2.05,1.2624970757356637,0
2.1,1.946829147735663,0
2.15,-1.1724802022643366,0
2.2,-0.7283725322643368,0
2.25,-0.28078550526433643,0
2.3,-0.06170132926433691,0
2.35,0.6619024507356635,0
2.4,1.1243825067356639,0
2.45,1.930346310735664,0
2.5,-1.0896645322643366,0
2.55,-0.6039319292643368,0
2.6,-0.2827600012643363,0
2.65,0.06076264273566334,0
2.7,0.7174939997356642,0
2.75,1.3885780907356642,0
2.8,1.9916243207356636,0
2.85,2.9875413767356633,0
2.9,-0.6436708372643367,0
2.95,-0.32263800726433667,0
3.0,0.05659217973566388,0
3.05,0.5721525097356635,0
3.1,1.2571366367356633,0
3.15,1.9186905677356636,0
3.2,-1.1104194872643367,0
3.25,-0.8025498212643365,0
3.3,-0.5446337022643366,0
