lineage_ID,dataset,variable,slope,intercept,std_err,kind
0.0,Trace,$\phi$,-2.2387644240248825,2.066156239213858,0.16817322780643085,ebp
0.0,Trace,$\phi$,-2.2759464459232746,-0.9087946620730776,0.16745413272201806,cv
0.0,Artificial,$\phi$,-0.9355740929868818,-0.5485285247890226,0.05571288153831999,ebp
0.0,Artificial,$\phi$,-0.9446955767993865,-3.622971427227458,0.05538314789154264,cv
0.0,White Noise,$\phi$,-1.680854701063156,1.7654418534113931,0.11703445962397974,ebp
0.0,White Noise,$\phi$,-1.8597319810309978,4.831820494882429,0.130280557683921,cv
1.0,Trace,$\phi$,-1.453875427520127,0.2330205362754656,0.08847696206407697,ebp
1.0,Trace,$\phi$,-1.4494184902933687,-3.1131484446570727,0.08821423913992044,cv
1.0,Artificial,$\phi$,-1.5953254692123546,0.6471510826916083,0.09229863319920698,ebp
1.0,Artificial,$\phi$,-1.5874680474384812,-2.7014474178922745,0.09135233111072202,cv
1.0,White Noise,$\phi$,-1.8342963785897053,1.4734293148903808,0.14650890352895757,ebp
1.0,White Noise,$\phi$,-2.126978703065188,5.797204419227037,0.18425827263456912,cv
2.0,Trace,$\phi$,-1.5387739294928706,0.17559648100438796,0.08917815460889436,ebp
2.0,Trace,$\phi$,-1.5245525723130577,-2.8127433830410293,0.08910086927910234,cv
2.0,Artificial,$\phi$,-1.1918504551165503,0.1985019892193698,0.03775938747090803,ebp
2.0,Artificial,$\phi$,-1.1708259685606233,-2.603094345988092,0.03842617576196901,cv
2.0,White Noise,$\phi$,-0.8456503844637315,-0.9322993593294493,0.04194055541910079,ebp
2.0,White Noise,$\phi$,-0.76474905302552,1.3270982385258936,0.03964190155501019,cv
3.0,Trace,$\phi$,-1.3353174002986192,-0.008159655974840696,0.0686011023270599,ebp
3.0,Trace,$\phi$,-1.3199901346300615,-3.250014272317178,0.06887283466306252,cv
3.0,Artificial,$\phi$,-2.0033431890309084,2.4131577346097206,0.13967856856889524,ebp
3.0,Artificial,$\phi$,-2.0226405743796376,-1.0088182140716269,0.14029902491974974,cv
3.0,White Noise,$\phi$,-1.8377824114311414,1.3188762630075956,0.12068051055369805,ebp
3.0,White Noise,$\phi$,-1.8395105481103553,3.0497961916195324,0.12105558844417082,cv
4.0,Trace,$\phi$,-1.9245505872882516,0.9584535587970509,0.14370756364171636,ebp
4.0,Trace,$\phi$,-1.9651030928328888,-2.3660442482908968,0.14089567078952805,cv
4.0,Artificial,$\phi$,-1.2362452463917308,0.20882949589326527,0.09202476937752525,ebp
4.0,Artificial,$\phi$,-1.2817676957848678,-3.1562920419770215,0.0933480137305228,cv
4.0,White Noise,$\phi$,-1.0590200711780002,0.24651316352636377,0.06560606073200222,ebp
4.0,White Noise,$\phi$,-0.9847865626801402,3.152728081330849,0.06536895047075236,cv
5.0,Trace,$\phi$,-1.902024875030371,1.6403092777715447,0.13435714486454237,ebp
5.0,Trace,$\phi$,-1.9695276125899785,-1.5590509974454347,0.1357696972372742,cv
5.0,Artificial,$\phi$,-0.8870244234154129,0.27696447216467135,0.08107973038759665,ebp
5.0,Artificial,$\phi$,-0.8699339652153151,-2.7672066847720056,0.08154105493763229,cv
5.0,White Noise,$\phi$,-1.6578977130539003,1.359921753537419,0.10904130606907414,ebp
5.0,White Noise,$\phi$,-1.5891452993471584,3.8516311938535495,0.12225181763410264,cv
6.0,Trace,$\phi$,-1.7793439674815437,0.8159089576331935,0.0870547241500733,ebp
6.0,Trace,$\phi$,-1.7734698215594915,-2.6911902085716592,0.08737811026591195,cv
6.0,Artificial,$\phi$,-1.0506443403967882,0.23292136010688358,0.051694961646048226,ebp
6.0,Artificial,$\phi$,-1.036266771166375,-2.985970663223969,0.05140842672733496,cv
6.0,White Noise,$\phi$,-1.3050307529488208,0.39647014026903094,0.12820900968060656,ebp
6.0,White Noise,$\phi$,-1.1787832715018094,3.5035136433848098,0.14444882600892894,cv
7.0,Trace,$\phi$,-1.6782989968998263,0.8160519961537078,0.09683895345751711,ebp
7.0,Trace,$\phi$,-1.677568226931233,-2.1437445981508816,0.09641514434136797,cv
7.0,Artificial,$\phi$,-1.8713991584013765,2.1556409033858674,0.1550230607769678,ebp
7.0,Artificial,$\phi$,-1.8851161588831609,-1.149174578887016,0.15511999835400908,cv
7.0,White Noise,$\phi$,-1.3968889268030542,1.2505375050317515,0.09241071684746453,ebp
7.0,White Noise,$\phi$,-1.4654601040820665,4.02484699553207,0.09220989382432782,cv
8.0,Trace,$\phi$,-1.098694367099936,-0.5558791598250958,0.10066097995319567,ebp
8.0,Trace,$\phi$,-1.3472186440122966,-3.2907043596475627,0.14748514732038,cv
8.0,Artificial,$\phi$,-0.7937249387313037,-0.5132643956379095,0.08105607261118161,ebp
8.0,Artificial,$\phi$,-0.7799399123746087,-3.905074858203895,0.08148404338494906,cv
8.0,White Noise,$\phi$,-1.3469102554041925,0.8964447165870588,0.14657276373656627,ebp
