time,length,dataset,trap_ID,trace,lineage_ID
0.45,3.0741459503107826,SL,1,A,1
8.9,4.421572245884303,SL,1,A,1
8.95,5.1187880405413155,SL,1,A,1
9.0,5.200042788972011,SL,1,A,1
9.05,2.5078874498300343,SL,1,A,1
9.1,2.9168481216534796,SL,1,A,1
9.15,3.0675421473769906,SL,1,A,1
9.2,3.480103361922442,SL,1,A,1
9.25,3.6219863140898134,SL,1,A,1
9.3,3.980960784367283,SL,1,A,1
9.35,4.365212668904306,SL,1,A,1
9.4,4.786761800672727,SL,1,A,1
9.45,5.130187964441225,SL,1,A,1
9.5,5.592594649816232,SL,1,A,1
9.55,2.8491809389280127,SL,1,A,1
9.6,3.2841893654339667,SL,1,A,1
9.65,3.4675819260434504,SL,1,A,1
9.7,3.4419950320512127,SL,1,A,1
9.75,3.6074531569294552,SL,1,A,1
9.8,3.7646767940804358,SL,1,A,1
9.85,4.049959023497502,SL,1,A,1
9.9,4.517950630976157,SL,1,A,1
9.95,4.81471132698708,SL,1,A,1
10.0,5.502545159657817,SL,1,A,1
10.05,2.80211760529968,SL,1,A,1
10.1,2.99237978304715,SL,1,A,1
10.15,3.4145197552928193,SL,1,A,1
10.2,3.8678852061433457,SL,1,A,1
10.25,3.920042069255037,SL,1,A,1
10.3,4.7589502642545645,SL,1,A,1
8.85,4.14980899039909,SL,1,A,1
8.8,3.8820042793763276,SL,1,A,1
8.75,3.381168609687179,SL,1,A,1
8.7,3.248866164763235,SL,1,A,1
7.2,3.814262652547558,SL,1,A,1
7.25,4.184122554009328,SL,1,A,1
7.3,4.392434303666761,SL,1,A,1
7.35,2.2566027419753447,SL,1,A,1
7.4,2.203570405239103,SL,1,A,1
7.45,2.3793713609744804,SL,1,A,1
7.5,2.4710977267331042,SL,1,A,1
7.55,2.5925878511038745,SL,1,A,1
7.6,2.7855931366475524,SL,1,A,1
7.65,3.0279480967395163,SL,1,A,1
7.7,3.071875576171006,SL,1,A,1
7.75,3.361074989240532,SL,1,A,1
7.8,3.7036094813715335,SL,1,A,1
7.85,1.625372394278264,SL,1,A,1
10.4,5.244014113897279,SL,1,A,1
7.9,1.9317834994003675,SL,1,A,1
8.0,2.365476957428514,SL,1,A,1
8.05,2.5151862400292098,SL,1,A,1
8.1,2.9245847835252783,SL,1,A,1
8.15,3.0309738154094,SL,1,A,1
8.2,3.2703880841647655,SL,1,A,1
8.25,3.3962966665451644,SL,1,A,1
8.3,3.658932862489452,SL,1,A,1
8.35,3.7382966942703058,SL,1,A,1
8.4,1.8623158803311932,SL,1,A,1
8.45,2.229358476509696,SL,1,A,1
8.5,2.4221775865337554,SL,1,A,1
8.55,2.4715770453285932,SL,1,A,1
8.6,2.7801951683200867,SL,1,A,1
8.65,3.147971530612714,SL,1,A,1
7.95,2.2010312269101946,SL,1,A,1
7.15,3.6748429377122847,SL,1,A,1
10.45,2.5842253656496275,SL,1,A,1
10.55,2.9064789036261396,SL,1,A,1
12.3,1.8590242316091787,SL,1,A,1
12.35,1.9883554123077367,SL,1,A,1
12.4,1.978457209492486,SL,1,A,1
12.45,2.2875025695155577,SL,1,A,1
12.5,2.4749474546959025,SL,1,A,1
12.55,2.8832233419845963,SL,1,A,1
12.6,2.9140630467087734,SL,1,A,1
12.65,3.1258609572647633,SL,1,A,1
12.7,3.372832130663277,SL,1,A,1
12.75,3.825737117811705,SL,1,A,1
12.8,4.2944190357946725,SL,1,A,1
12.85,4.383969182132533,SL,1,A,1
12.9,4.994248894570838,SL,1,A,1
12.95,5.4455195694105205,SL,1,A,1
13.0,5.789843704895445,SL,1,A,1
13.05,5.963103632593987,SL,1,A,1
13.1,6.936951686728548,SL,1,A,1
13.15,3.519744946112299,SL,1,A,1
13.2,3.905374990512399,SL,1,A,1
13.25,3.9964124279999558,SL,1,A,1
13.3,4.605911382882141,SL,1,A,1
13.35,5.032703623242919,SL,1,A,1
13.4,5.569511347934562,SL,1,A,1
13.45,2.8806562093515833,SL,1,A,1
13.5,2.833515898137345,SL,1,A,1
13.55,3.519553180728741,SL,1,A,1
13.6,3.8042978574371036,SL,1,A,1
13.65,4.343502808136967,SL,1,A,1
13.7,4.562875750627724,SL,1,A,1
12.25,1.7426430449942336,SL,1,A,1
12.2,1.8454826591342735,SL,1,A,1
12.15,1.6824936257617245,SL,1,A,1
12.1,3.131982977784572,SL,1,A,1
10.6,3.4773128791287706,SL,1,A,1
10.65,3.8594568623734915,SL,1,A,1
10.7,4.043767930122256,SL,1,A,1
10.75,4.705992569805011,SL,1,A,1
10.8,4.992530470934611,SL,1,A,1
10.85,2.2045933515089438,SL,1,A,1
10.9,2.6528131531414405,SL,1,A,1
10.95,2.872986206567802,SL,1,A,1
11.0,2.7614354328021258,SL,1,A,1
11.05,2.7285147340330935,SL,1,A,1
11.1,3.121779414386977,SL,1,A,1
11.15,2.9846766814099963,SL,1,A,1
11.2,3.530221078226162,SL,1,A,1
11.25,3.802070156499672,SL,1,A,1
10.5,2.7446188327492407,SL,1,A,1
11.3,4.1506685354825805,SL,1,A,1
11.4,2.7214978318525813,SL,1,A,1
11.45,2.7800723296939105,SL,1,A,1
11.5,2.8117494904835247,SL,1,A,1
11.55,2.851340411598353,SL,1,A,1
11.6,3.1405257975189946,SL,1,A,1
11.65,3.542024235140722,SL,1,A,1
11.7,3.281908260987102,SL,1,A,1
11.75,3.6065177352026145,SL,1,A,1
11.8,4.2625742237446085,SL,1,A,1
11.85,2.433585110061599,SL,1,A,1
11.9,2.5000709655809614,SL,1,A,1
11.95,2.5041634273168087,SL,1,A,1
12.0,2.7916403356942725,SL,1,A,1
12.05,2.929257464224264,SL,1,A,1
11.35,4.756523100662201,SL,1,A,1
7.1,3.3216417235978244,SL,1,A,1
10.35,5.073973241388744,SL,1,A,1
7.0,3.071468379643488,SL,1,A,1
2.2,5.202050573541527,SL,1,A,1
2.25,2.9040113471341886,SL,1,A,1
2.3,2.956302683437578,SL,1,A,1
2.35,3.207785523896156,SL,1,A,1
2.4,3.25985979759394,SL,1,A,1
2.45,3.7818396901717963,SL,1,A,1
2.5,4.384197056501161,SL,1,A,1
2.55,4.420968893038058,SL,1,A,1
2.6,4.940002319467287,SL,1,A,1
2.65,2.709425696668713,SL,1,A,1
2.7,2.7598495342794145,SL,1,A,1
2.75,3.0594209091206395,SL,1,A,1
2.8,3.277068914061695,SL,1,A,1
2.85,3.7473638073878948,SL,1,A,1
2.9,3.7627913591388475,SL,1,A,1
2.95,4.037795598340569,SL,1,A,1
3.0,4.297854363887868,SL,1,A,1
3.05,4.830676838408959,SL,1,A,1
3.1,2.7074246664840707,SL,1,A,1
3.15,2.6293983275416775,SL,1,A,1
3.2,2.995469997544483,SL,1,A,1
3.25,3.052081973684226,SL,1,A,1
3.3,3.521192426405026,SL,1,A,1
3.35,3.773378434733329,SL,1,A,1
3.4,3.9317017856437797,SL,1,A,1
3.45,4.159391065097905,SL,1,A,1
3.5,4.098082321408194,SL,1,A,1
3.55,2.2141644440234645,SL,1,A,1
3.6,2.1296296751547974,SL,1,A,1
2.15,4.944103442907401,SL,1,A,1
2.1,4.337108654004182,SL,1,A,1
2.05,4.033099324278035,SL,1,A,1
2.0,3.7347227147978383,SL,1,A,1
7.05,3.2637839056351794,SL,1,A,1
0.55,3.497987450934437,SL,1,A,1
0.6,4.005717093207692,SL,1,A,1
0.65,4.073267787353357,SL,1,A,1
0.7,4.185069061295753,SL,1,A,1
0.75,4.784709330974809,SL,1,A,1
0.8,4.956283287065299,SL,1,A,1
0.85,2.678013583985354,SL,1,A,1
0.9,2.934312042245986,SL,1,A,1
0.95,2.9154518506323703,SL,1,A,1
1.0,3.5440044576579766,SL,1,A,1
1.05,3.7457986799579333,SL,1,A,1
1.1,3.8855605068401267,SL,1,A,1
1.15,4.225487331287261,SL,1,A,1
3.65,2.2400866066361966,SL,1,A,1
1.2,4.759061085349031,SL,1,A,1
1.3,2.3077987081309663,SL,1,A,1
1.35,2.6693761241213045,SL,1,A,1
1.4,2.7903423040810846,SL,1,A,1
1.45,3.1810140641230706,SL,1,A,1
1.5,3.601539594871751,SL,1,A,1
1.55,3.744339777551436,SL,1,A,1
1.6,4.088901379147077,SL,1,A,1
1.65,4.451144450565618,SL,1,A,1
1.7,4.658670430713181,SL,1,A,1
1.75,2.421079831506961,SL,1,A,1
1.8,2.792106871073537,SL,1,A,1
1.85,2.85352182586377,SL,1,A,1
1.9,3.3799232877089533,SL,1,A,1
1.95,3.2626544200849352,SL,1,A,1
1.25,4.96214256345543,SL,1,A,1
3.7,2.31014954807415,SL,1,A,1
0.5,3.364730590685186,SL,1,A,1
3.8,2.795119230059531,SL,1,A,1
5.5,3.3078454984700554,SL,1,A,1
5.55,3.4595338910528968,SL,1,A,1
5.6,3.914260336701943,SL,1,A,1
5.65,4.142061440410427,SL,1,A,1
5.7,4.179691165052354,SL,1,A,1
5.75,4.473944423637457,SL,1,A,1
5.8,4.9119730901119665,SL,1,A,1
5.85,5.097128543210792,SL,1,A,1
5.9,5.766103111623735,SL,1,A,1
5.95,3.1165219973878027,SL,1,A,1
6.0,3.3375182431372767,SL,1,A,1
6.05,3.600024514735688,SL,1,A,1
6.1,3.7835160352879336,SL,1,A,1
6.15,4.114964243090116,SL,1,A,1
5.45,3.106564000574968,SL,1,A,1
6.2,4.095513404718014,SL,1,A,1
6.3,4.964294526311021,SL,1,A,1
6.35,2.8005242179237797,SL,1,A,1
6.4,2.843817018345243,SL,1,A,1
6.45,2.930433106555811,SL,1,A,1
6.5,3.090175612158476,SL,1,A,1
6.55,3.5280183356366344,SL,1,A,1
6.6,3.7690666341818106,SL,1,A,1
6.65,3.91530787351255,SL,1,A,1
6.7,4.052614024531365,SL,1,A,1
6.75,4.430316543368271,SL,1,A,1
6.8,2.5619469580903074,SL,1,A,1
6.85,2.512085614123332,SL,1,A,1
6.9,2.6624381776388426,SL,1,A,1
3.75,2.4701370476044064,SL,1,A,1
6.25,4.413208071026253,SL,1,A,1
5.4,2.923773172960304,SL,1,A,1
6.95,2.84247757226872,SL,1,A,1
5.3,4.949879564663317,SL,1,A,1
5.35,2.3820647559105,SL,1,A,1
3.85,3.0976536758137168,SL,1,A,1
3.9,3.0908162376427932,SL,1,A,1
3.95,3.297634560857041,SL,1,A,1
4.0,3.5849747514348183,SL,1,A,1
4.05,3.7482284670923205,SL,1,A,1
4.1,4.0433006243853,SL,1,A,1
4.15,4.270700456833642,SL,1,A,1
4.25,2.173293865305813,SL,1,A,1
4.3,2.446630676573128,SL,1,A,1
4.35,2.632333594245707,SL,1,A,1
4.4,2.832959534461599,SL,1,A,1
4.45,2.943476813489894,SL,1,A,1
4.5,3.1870597285779483,SL,1,A,1
4.2,2.0042507872201667,SL,1,A,1
4.6,3.7399865969182873,SL,1,A,1
4.55,3.53109590447084,SL,1,A,1
5.2,4.219081926965202,SL,1,A,1
5.15,3.9642679393239555,SL,1,A,1
5.1,3.6489556387532076,SL,1,A,1
5.05,3.3389702895347857,SL,1,A,1
4.95,2.686247073937939,SL,1,A,1
5.0,3.0677135728330285,SL,1,A,1
5.25,4.627571082676503,SL,1,A,1
4.85,2.1428548459505894,SL,1,A,1
4.8,2.3183819396788143,SL,1,A,1
4.75,4.548933093443373,SL,1,A,1
4.7,4.311012520838461,SL,1,A,1
4.65,3.989384624620591,SL,1,A,1
4.9,2.6020392702645734,SL,1,A,1
9.3,3.691128951756873,SL,1,B,2
9.45,4.4114690786986435,SL,1,B,2
9.4,4.156053448899026,SL,1,B,2
9.35,3.883220938548438,SL,1,B,2
9.25,3.5541340496194986,SL,1,B,2
8.9,4.691799490651419,SL,1,B,2
9.15,3.200891940606333,SL,1,B,2
9.1,3.0286630847121327,SL,1,B,2
9.05,2.7541600196297025,SL,1,B,2
9.0,2.503723292206867,SL,1,B,2
8.95,2.3053494878067,SL,1,B,2
9.5,2.311817128288725,SL,1,B,2
9.2,3.163750902734936,SL,1,B,2
9.55,2.33289834135809,SL,1,B,2
10.3,2.8224151728054068,SL,1,B,2
9.65,2.6641100061381433,SL,1,B,2
9.7,2.8264208249107705,SL,1,B,2
9.75,2.828622172622922,SL,1,B,2
9.8,3.113469650016859,SL,1,B,2
9.85,3.396496869253802,SL,1,B,2
9.9,3.495039126544761,SL,1,B,2
9.95,3.8887489504255957,SL,1,B,2
10.0,3.9659688068256758,SL,1,B,2
10.05,4.381676776948462,SL,1,B,2
10.1,2.0411510048435884,SL,1,B,2
10.15,2.3260935449031623,SL,1,B,2
10.2,2.470545389585813,SL,1,B,2
10.25,2.685970277898777,SL,1,B,2
7.2,3.932554238824745,SL,1,B,2
9.6,2.3637081221792235,SL,1,B,2
8.85,4.1426743967054245,SL,1,B,2
8.05,3.2098609136385545,SL,1,B,2
8.75,3.829225501306455,SL,1,B,2
10.35,3.002937599281621,SL,1,B,2
7.25,4.160136092268229,SL,1,B,2
7.3,4.493849345202511,SL,1,B,2
7.35,2.680507747076963,SL,1,B,2
7.4,2.5531402552824387,SL,1,B,2
7.45,2.9552795409360644,SL,1,B,2
7.5,2.640553637310041,SL,1,B,2
7.55,2.8780410323639267,SL,1,B,2
7.6,3.0679956611894306,SL,1,B,2
7.65,3.146038194245545,SL,1,B,2
7.7,3.873674413164179,SL,1,B,2
7.75,4.1081230850160235,SL,1,B,2
7.8,4.2984040568547695,SL,1,B,2
7.85,2.4226157036693508,SL,1,B,2
8.8,4.028493529774387,SL,1,B,2
7.9,2.493792230361015,SL,1,B,2
8.0,2.6922475560916683,SL,1,B,2
8.1,3.26860765961429,SL,1,B,2
8.15,3.4602521274945937,SL,1,B,2
8.2,3.621049389179991,SL,1,B,2
8.25,3.8247407687131156,SL,1,B,2
8.3,4.123721268423361,SL,1,B,2
8.35,4.495595217196077,SL,1,B,2
8.4,2.34250485884734,SL,1,B,2
8.45,2.368748419829727,SL,1,B,2
8.5,2.6226546058509563,SL,1,B,2
8.55,2.877523079051462,SL,1,B,2
8.6,3.0675991354874093,SL,1,B,2
8.65,3.429553245300095,SL,1,B,2
8.7,3.537011767070564,SL,1,B,2
7.95,2.485396663452392,SL,1,B,2
10.4,3.2831414537998547,SL,1,B,2
12.05,1.7667310103265852,SL,1,B,2
10.5,3.9650748828019315,SL,1,B,2
12.35,2.8653437154278567,SL,1,B,2
12.4,2.8513069321157225,SL,1,B,2
12.45,3.1605561514660168,SL,1,B,2
12.5,3.59381005678141,SL,1,B,2
12.55,3.9386555998369768,SL,1,B,2
12.6,4.285909673065018,SL,1,B,2
12.65,4.7675919131216284,SL,1,B,2
12.7,2.4106787637342015,SL,1,B,2
12.75,2.4901636221215497,SL,1,B,2
12.8,2.479833976012733,SL,1,B,2
12.85,2.768946362121508,SL,1,B,2
12.9,2.9467747942863034,SL,1,B,2
12.95,3.117011425051297,SL,1,B,2
13.0,3.386432067957785,SL,1,B,2
13.05,3.6974495539764214,SL,1,B,2
13.1,3.999712688455075,SL,1,B,2
13.15,4.353610726314847,SL,1,B,2
13.2,4.450930090261955,SL,1,B,2
13.25,4.666867055218617,SL,1,B,2
13.3,5.25413928240142,SL,1,B,2
13.35,1.498189838780667,SL,1,B,2
13.4,1.5877104800291046,SL,1,B,2
13.45,1.7911523512599856,SL,1,B,2
13.5,1.744003397604489,SL,1,B,2
13.55,1.7669968917870564,SL,1,B,2
