dataset,filename,start,end,useful
20090529_E_coli_Br_SJ119_Wang2010,xy07_ch10_cell0_YFP0002,,,
20090529_E_coli_Br_SJ119_Wang2010,xy05_ch2_cell0_YFP0001,,,
20090529_E_coli_Br_SJ119_Wang2010,xy01_ch5_cell0_YFP0001,,,
20090529_E_coli_Br_SJ119_Wang2010,xy04_ch8_cell0_YFP0001,,,
20090529_E_coli_Br_SJ119_Wang2010,xy07_ch15_cell0_YFP0001,,,
20090529_E_coli_Br_SJ119_Wang2010,xy09_ch14_cell0_YFP0001,,,
20090529_E_coli_Br_SJ119_Wang2010,xy05_ch7_cell0_YFP0002,,,
20090529_E_coli_Br_SJ119_Wang2010,xy01_ch0_cell0_YFP0002,,,
20090529_E_coli_Br_SJ119_Wang2010,xy08_ch12_cell0_YFP0001,,,
20090529_E_coli_Br_SJ119_Wang2010,xy06_ch13_cell0_YFP0001,,,
20090529_E_coli_Br_SJ119_Wang2010,xy11_ch6_cell0_YFP0002,,,
20090529_E_coli_Br_SJ119_Wang2010,xy10_ch9_cell0_YFP0001,,,
20090529_E_coli_Br_SJ119_Wang2010,xy11_ch3_cell0_YFP0001,,,
20090529_E_coli_Br_SJ119_Wang2010,xy03_ch4_cell0_YFP0001,,,
20090529_E_coli_Br_SJ119_Wang2010,xy07_ch3_cell0_YFP0001,,,
20090529_E_coli_Br_SJ119_Wang2010,xy06_ch9_cell0_YFP0001,,,
20090529_E_coli_Br_SJ119_Wang2010,xy03_ch1_cell0_YFP0002,,,
20090529_E_coli_Br_SJ119_Wang2010,xy07_ch6_cell0_YFP0002,,,
20090529_E_coli_Br_SJ119_Wang2010,xy02_ch12_cell0_YFP0001,,,
20090529_E_coli_Br_SJ119_Wang2010,xy04_ch14_cell0_YFP0001,,,
20090529_E_coli_Br_SJ119_Wang2010,xy09_ch0_cell0_YFP0002,,,
20090529_E_coli_Br_SJ119_Wang2010,xy09_ch5_cell0_YFP0001,,,
20090529_E_coli_Br_SJ119_Wang2010,xy12_ch8_cell0_YFP0002,,,
